id,name,surname,date_of_birth,date_of_death,place_of_birth,place_of_death,life,music,computed_death
4714,Sebastiaan,Van Steenberge,,,"Zottegem,Belgium",,"Sebastiaan van Steenberge (°1974) studied at the ""Lemmensinstituut"" in Leuven (Belgium) and he obtained the Master Degree for the Organ and Composition and the Degree of Specialist for the Organ. At the moment he is appointed at Antwerp Cathedral as the Director of Music and he is the conductor of the Antwerp Cathedral Choir. In December 2005 a new CD recording will be released: Musica Sacra, performed by the Antwerp Cathedral Choir.",,
4715,Gerard,van Turnhout,,1580-09-15,,"Madrid,,Spain",,,
4716,Hendrika,van Tussenbroek,1854-12-02,1935-06-21,"Utrecht,The Netherlands","Doorn,The Netherlands",,,
4717,Jan,van Vlijmen,1935-10-11,2004-12-24,"Rotterdam,The Netherlands","Réveillon,France",,,
4718,Gaspard,van Waarbecke,,,,,,,
4719,Unico,Wilhelm van Wassenaer,1692-11-02,1766-11-09,"Delden,The Netherlands","Den,The Netherlands",,,
4720,Johann,Baptist Vanhal,1739-05-12,1813-08-20,"Nové,Czech Republic","Wien,Austria",,,
4721,Edgard,Varèse,1883-12-22,1965-11-06,"Paris,France","New,USA",,,
4722,António,Pinho Vargas,1951-08-15,,"Vila,Portugal",,,,
4723,Jorge,Variego,1975-11-29,,"Rosario,Argentina",,,,
4724,Sergey,Nikiforovich Vasilenko,1872-03-30,1956-03-11,"Moscow,Russia","Moscow,Russia",,,
4725,Pēteris,Vasks,1946-04-16,,"Aizpute,Latvia",,,,
4726,Juan,Vásquez <small>(Vázquez)</small>,,,,,“Maestro di Capilla” at Badjoz Cathedral 1545–1550.,,
4727,Paolino,Vassallo,1856-07-24,1923-01-30,"Cospicua,Malta","Valletta,Malta",,,
4728,Nadir,Vassena,1970-08-22,,"Balerna,Switzerland",,,,
4729,Ralph,Vaughan Williams,1872-10-12,1958-08-26,"Down,England","London,England","<i>The RVW Society: Contact Dr Robin Barber, Membership SocietyThe ChantryStocklinchIlminsterSomersetTA19 9JJsubscription &pound;15/$35the society needs more members.",,
4730,John,Veale,1922-06-15,2006-11-16,"Shortlands,,England","Bromley,,England",,,
4731,Orazio,Vecchi,1550-12-06,1605-02-19,"Modena,Italy","Modena,Italy",,,
4732,Arnold,Veeman,1973-01-14,,"Groningen,The Netherlands",,,,
4733,Franz,Adam Veichtner <small>(Feichtner)</small>,,1822-03-03,,"Klievenhof,,Germany [now Latvia]","The German composer Franz Adam Veichtner, son of violin builder Johann Georg Veichtner, was also a violinist.",,
4734,José,"Augusto Ferreira Veiga, Visconde do Arneiro",1838-11-22,1903-06-07,"Macau,China","San,Italy",,,
4735,Václav,(Jindřich) [Wenzel Heinrich] Veit,1806-01-19,1864-02-16,"Řepnice,,Czech Republic","Litoměřice,Czech Republic","The Czech composer Václav Veit was also a copyist, pianist and lawyer.",,
4736,Jacob,Vejslev,1957-07-25,,"Copenhagen,Denmark",,,,
4737,Pavel,Josef Vejvanovský,,,,,"This Moravian composer served as a court composer for Prince-Bishop Karl of Olomouc (Olmütz) during the last quarter of the 17th century. Vejvanovský studied at the Jesuit College in Opova. Apart form a composers, he was also a music copyist and above all a very good trumpetter. He has therefore written a lot of virtuoso works for trumpet, trombine and cornett. His many mass settings form a step in the evolution from early baroque to more homophonous vocal parts.",,
4738,Michel’Angelo,[Michaele Angelo] Vella,1710-11-07,1792-12-25,"Senglea,Malta","Cospicua,Malta","The Maltese composer Michel’Angelo (Michelangelo) Vella was also a organist, priest and teacher.",,
4739,José,Augusto Veloso Rito,1954-11-09,,Portugal,,,,
4740,Ian,Venables,1955-07-25,,"Liverpool,,England",,,,
4741,Livio,Ventura,1963-01-29,,"Rome,Italy",,,,
4742,Francesco,Maria Veracini,1690-02-01,1768-10-31,"Firenze,Italy","Firenze,Italy",,,
4743,Margriet,Verbeek,1957-06-15,,"Leiderdorp,The Netherlands",,,,
4744,Theo,Verbey,1959-07-05,,"Delft,The Netherlands",,,,
4745,Elizabeth,Vercoe,1941-04-23,,"Washington,,USA",,,,
4746,Giuseppe,Verdi,1813-10-10,1901-01-27,"Roncole,Italy","Milano,Italy",,,
4747,Sándor,Veress,1907-02-01,1992-03-04,"Kolozsvar,Hungary","Bern,Switzerland",,,
4748,Theodorus,Hendricus Hubertus Verhey,1848-06-10,1929-01-28,"Rotterdam,The Netherlands","Rotterdam,The Netherlands",,,
4749,Christiaan,Verhoog,1934-05-19,,"Den,The Netherlands",,,,
4750,Johannes,Verhulst,1816-03-19,1891-01-17,"Den,The Netherlands","Den,The Netherlands",,,
4751,Matthijs,Vermeulen,1888-02-08,1967-07-26,"Helmond,The Netherlands","Laren,The Netherlands",,,
4752,Petra,Vermote,,,"Izegem,Belgium",,,,
4753,Aleksey,Nikolayevitch Verstovsky,1799-02-18,1862-09-05,"Selivyorstovo,Russia","Moscow,Russia",,,
4754,Ludovico,Viadana,,1627-05-02,,"Gualtieri,,Italy","Viadana (real name: Grossi da Viadana) was appointed “maestro di cappella” at the Mantua cathedral befor 1590, and later at Concordia (1609) and Fano cathedral (1612). He reired to the Fransiscan monastry in Gualtieri (Viadana joined the Franciscan order in 1596), after he had lived in Piacenza from 1615.",,
4755,Andersen,Viana,1962-04-23,,"Belo,Brazil",,,,
4756,António,Victorino d’Almeida,,,"Lisbon,Portugal",,,,
4757,Alvise,Vidolin,1949-07-13,,"Padova,Italy",,,,
4758,Julio,Viera,,,Argentina,,,,
4759,Louis,Vierne,1870-10-08,1937-06-02,"Poitiers,France","Paris,France",,,
4760,Henri,Vieuxtemps,1820-02-17,1881-06-06,"Verviers,Belgium","Mustapha,Algeria",,,
4761,Mansueto,Viezzer,,,"Farra,Italy",,"He was born in Farra di Soligo in 1925. He studied philosophy and theology at Vittorio Veneto episcopal seminary. and he was ordained priest in 1950. He studied music under the direction of Luigi Mantegani, (Pre-polyphonic Music and Gregorian Chant), Luigi Pavan (Piano), Gabriele Bianchi (Harmony), Dino Coltreo (Counterpoint and Fugue). and Wolfango Dalla Vecchia (Composition), and he took his Piano Diploma at Udine Conservatory in 1958, and his Composition Diploma at Venice Conservatory in 1964. He taught harmony and counterpoint at Vicenza Conservatory (1970-1977). and harmony, fugue and composition at Ferrara (1980-1983). and Venice (1977-1980, 1984-1985) Conservatories. He conducts the San Gallo Choir in Soligo. He used to be Pieve di Soligo hospital chaplain (1960-1980). and since 1980 he is chaplain at Pieve di Soligo elderly people house, where he is currently living. In 1966 he was awarded a Levi” prize in Venice, and in 1969 a “F. Michele Napolitano” prize in Naples. The most important part of his production is represented by some oratorios, a series of pieces demanding a great deal of effort in their composition, and inspired to biblical or liturgical ideas. These scores are usually performed by the following instrumental and vocal ensembles: symphony orchestra with soloist organ, several keyboards, magnetic tape, four mixed-voices choir, treble voices choir, female vocal quartet and other soloists. The oratories he has so far composed are the following: Tenerissima valle, for poems by Andrea Zanzotto (1980), Passio Domini nostri Jesu Christi (1981), Resurrectio Domini nostri Jesu Christi (1984), Cantico dei Cantici (1985), Massimiliano M. Kolbe. Vita, morte e glorificazione (1986), Exodus (1991), e Fra Claudio scultore per obbedienza (1994). He has also composed sacred music. pieces for orchestra, and for choir orchestra, a theatre piece. chamber music, lyrics, and organ and piano music.",,
4762,Roger,Arve Vigulf,1964-06-09,,"Spjelkavik,Norway",,Norwegian clarinet soloist and composer.  Educated at the Norwegian Music Academy and further studies in Copenhagen.,,
4763,Pedro,Vilarroig,1954-11-08,,"Madrid,Spain",,,,
4764,Heitor,Villa-Lobos,1887-03-05,1959-11-17,"Rio,Brazil","Rio,Brazil",,,
4765,Felipe,Villanueva,1862-02-05,1893-05-28,"Tecamac,,Mexico","Ciudad,Mexico","Mexican composer of importance, he lived a relatively short life (31 years). By the age of 6 he was playing the violin and by age 10 he had written a cantata, dedicated to the Cura Hidalgo. Villanueva founded the Musical Institute and was a member of the ""Group of Six"" (Acevedo, Gustavo E. Campa, Ricardo Castro, Carlos J. Menesses, Quezada and Villanueva) being the best known musicians of the time.",,
4766,Ezequiel,Viñao,1960-07-21,,"Buenos,Argentina",,,,
4767,Michael,Vincent,1976-07-18,,"Victoria,,Canada",,,,
4768,Leonardo,Vinci,,,,,,,
4769,Carl,Vine,1954-10-08,,"Perth,Australia",,,,
4770,Robert,Vinson,1949-04-04,,"Jenkins,,USA",,,,
4771,Gilbert,Vinter,1909-05-04,1969-10-10,"Lincoln,,England","Tintagel,,England",,,
4772,Andrew,Violette,1954-12-06,,"New,USA",,,,
4773,Henri,Viotta,1848-07-16,1933-02-17,"Amsterdam,The Netherlands","Montreux,Switzerland","Conductor, composer, and books about music, notably his ""Onze hedendaagsche toonkunstenaars"" (Our contemporary composers) (1893-1896).",,
4774,Giovanni,Battista Viotti,1755-05-12,1824-03-03,"Fontanetta,Italy","London,England",,,
4775,Maka,Maya Virsaladze,1971-05-23,,"Tbilisi,Georgia, Caucasus",,,,
4776,Giovanni,Battista Vitali,1632-02-18,1692-10-12,"Bologna,Italy","Bologna,Italy",Father of Tomaso.,,
4777,Jan,"(Matyáš Nepomuk) August Vitásek <small>(Wittasek, Wittaschek)</small>",1770-02-22,1839-12-07,"Hořín,Czech Republic","Praha,Czech Republic",Other dates are also given for Vitašek’s date of birth. The New Grove (1986) give 22 February.,,
4778,Ignaz,[Ignace] Vitzthumb <small>(Witzthumb)</small>,1724-09-14,1816-03-23,"Baden,Austria","Brussel,Belgium",,,
4779,Antonio,Vivaldi,1678-03-04,1741-07-28,"Venezia,Italy","Wien,Austria",,,
4780,Jordi,Vives i Batlle,1964-10-07,,"Barcelona,Spain",,,,
4781,Giovanni,Buonaventura Viviani,,,"Firenze,Italy",,,,
4782,Claude,Vivier,,,"Montreal,,Canada","Paris,France",Student of Stockhausen. Canadian Music Council Composer of the Year 1981. Influenced by both European avant-garde and by extensive studies of Asian musics. Murdered by a male prostitute in Paris. Model for a character in the novel Such Times by Christopher Coe (1993).,,
4783,Matias,Vivot,1982-06-04,,"Olivos,,Argentina",,,,
4784,Bruno,Vlahek,1986-02-11,,"Zagreb,Croatia",,,,
4785,Wladimir,Vogel,1896-02-29,1984-06-19,"Moscow,Russia","Zürich,Switzerland",,,
4786,Fred,Vogels,1954-04-04,,"Wassenaar,The Netherlands",,,,
4787,Hans,Vogt,1911-05-14,1992-05-19,"Danzig,Germany","Metternich,Germany","Hans Vogt studied with post-romantic composer Georg Schumann, and late in life drew more on these earlier influences. In Mannheim, Vogt was a professor of composition from 1951 to 1978. According to his publisher, Boosey &amp; Hawkes, Vogt’s influences alternate between a fascination with multi-lingual texts, ""juxtaposition of Old Testament and contemporary literature... the juxtaposition of Protestant hymns coupled with cluster chord technique...""",,
4788,Dan,Voiculescu,1940-07-20,,Romania,,,,
4789,Altin,Volaj,1974-06-21,,"Fier,Albania",,,,
4790,Kevin,Volans,1949-07-26,,"Pietermaritzburg,South Africa",,,,
4791,Robert,Volkmann,1815-04-06,1883-10-30,"Lommatzsch,Germany","Budapest,Hungary",,,
4792,Heinrich,Ignaz Franz von Biber,1644-08-12,1704-05-03,"Wartenberg,Czech Republic","Salzburg,Austria",,,
4793,Hildegard,von Bingen <small>(Hildegard)</small>,1098-09-16,1179-09-17,"Bemersheim,Germany","Rupertsberg,Germany",,,
4794,Hans-Jürgen,von Bose,1953-12-24,,"Munich,Germany",,,,
4795,Sophia,Elisabetha von Braunschweig,,,germany,Germany,,,
4796,Ernö,von Dohnányi <small>(Dohnányi)</small>,1877-07-27,1960-02-09,"Pozsony,Hungary","New,USA","Today his birth place is called Bratislava, Slovak Republic.",,
4797,Gottfried,von Einem,1918-01-24,1996-07-12,"Bern,Switzerland","Wien,Austria",,,
4798,Friedrich,von Flotow,1812-04-26,1883-01-24,"Teutendorf,Germany","Darmstadt,Germany",,,
4799,Christoph,Willibald von Gluck,1714-07-02,1787-11-15,"Erasbach,Germany","Wien,Austria",,,
4800,Adolf,von Henselt,1814-05-09,,"Schwabach,Germany","Cieplice,Czech Republic","Adolf von Henselt was born in 1814 in Schwabach, a small village close to Nuremberg,as one of six children, and at the age of 3 moved to Munich where hehad his first piano lessons beeing five years old. At the age of fifteen he gave his first public recital, and in 1831 was granted a stipend to study piano with Hummel and composition in Vienna with Simon Sechter. Aristrocatic in looks and bearing, he would in later years resemble the Emperor Franz Josef. His early success touring in Germany and Russia was undelined by the reception of his sets of studies (op. 2 &amp; 5). They were dedicated to his royal patron and included the best (only?) known work of Henselt today - &quot;Si oiseau j’étai, à toi volerai&quot;, a tricky feather-light study in sixths once given the distinction of a recording by Rachmaninov. These Studies attracted a lot of attention for the young virtuoso, many of them presenting technical problems different from those in Chopin’s two sets (published previously) but still maintaining the new concept of exercises wraped in poetry.To the present day they remain beyond the capabilities of many pianists. Even the legendary Anton Rubinstein had to admit defeat. After working on the Etudes and the F minor Piano Concerto for a few days, he realised ""it was a waste of time, for they were based on an abnormal formation of the hand. In this respect, Henselt, like Paganini was a freak&quot;. There is a liberal use of chords of the tenth (sometimes twelth) and arpeggios with a larger strecht than an octave. It wasn’t that Henselt had large hands - au contraire, he is known to have small hands with short fleshy fingers. But by means of diligent self-consuming practice he managed to achieve an amazing degree of elasticity with an extension that could reach C-E-G-C-F in his left hand and B-E-A-C-E in the right!! All this augured well for an important career as a pianist and composer. Neither came about. Towards the end of his life Henselt himself recognised that he had not fullfilled his early promise. As a composer, he simply has nothing else to say after the age of thirty, recognised the fact and lived with it. From the completion of the F minor Concerto (1844) to his death, there is no advance in style or content in the few works. Given the paucity of creativity, the extent of his influence on piano playing is remarkable, for two reasons. First by way of the prodigious technical invention of the Études (and for that matter, the Concerto), resulted in fuller tone in bass and greatly increased coverage in the upper registers of the keyboard. This his to be seen in the later music of Balakirev, Lyapunov, Scriabin and Rachmaninov (who must have greatly benefied from his study of Henselt). The second influence Henselt had on the piano playing was a result of his position in the cultural life of Russia. His triumph as a visiting concert pianist in St. Petersburg in 1838 led immediately to him being named Court Pianist. From then until his death, Henselt spent all but the summer months each year in the Russian city where he enjoyed a princely lifestyle and was on intimate terms with three successive Tsars. And this does not take into acount tje influence of Henselt’s own private pupils. Among them were Rachmaninov’s grandfather and Nicolai Zverev. Zverev taught Rachmaninov himself, Lhevinne, Siloti ans Scriabin. Here we have the foundations of the present Russian school of piano-playing with its emphasis on singing melody and freedom of hand movement. Henselt’s contribution to the piano was at least as significant as that of Liszt and Leschetizky.",,
4801,Heinrich,von Herzogenberg,1843-06-10,1900-10-09,"Graz,Austria","Wiesbaden,Germany",,,
4802,Franz,von Holstein,1826-02-16,1878-05-22,"Braunschweig,Germany","Leipzig,Germany",,,
4803,Gerhard,von Keußler <small>(von Keussler)</small>,1874-07-05,1949-08-21,"Alt-Schwanenburg,Livonia (now Latvia)","Niederwartha,,Germany",,,
4804,Anna,von Köln,,,,Germany,,,
4805,Peter,Joseph von Lindpaintner,1791-12-09,1856-08-21,"Koblenz,Germany","Nonnenhorn,Switzerland",,,
4806,Rudolph,"(Johann Joseph Rainer) von Österreich <small>(Archduke of Austria, von Habsburg-Lothringen)</small>",1788-01-08,1831-07-24,"Firenze,Italy","Baden,Austria",Rudolph von Österreich was a pupil of Beethoven.,,
4807,Maria,Theresia von Paradis,1759-05-15,1824-02-01,"Vienna,Austria","Vienna,Austria","The Austrian composer, singer, pianist and organist Maria Theresia von Paradis became blind as a child. She was the daughter of imperial court secretary Josef von Paradis. She is said to have played over 60 concertos by heart, having an accurate hearing. She went on a concert tour, playing the piano, from 1783 till 1786 (a.o. Paris, London, Berlin, Prague). After she returned to Vienna, there were more tours.",,
4808,Georg,von Pasterwitz,1730-06-07,1803-01-26,"Bierhütten,,Austria","Kremsmünster,Austria","The Austrian composer and organist Georg Pasterwitz was also a monk. He was ordained priest at the Kremsmünster Abbey in 1753. He studied music at Kremsmünster Abbey and with Eberlin in Vienna. From 1767 till 1782 he was choirmaster at the abbey, but later he lived mainly in Vienna.",,
4809,Casimir,von Paszthory,1886-04-01,1966-02-18,"Budapest,Hungary","Wermelskirchen,Germany",,,
4810,Anna,Amalia von Preußen,1723-11-09,1787-03-30,"Berlin,Preußen (Germany)","Berlin,Preußen (Germany)",,,
4811,Emil,Nikolaus von Reznicek,1860-05-04,1945-08-02,"Wien,Austria","Berlin,Germany",,,
4812,Hans,Bronsart von Schellendorf,1830-02-11,1913-11-03,"Prussia, Germany","München,Germany",,,
4813,Max,von Schillings,1868-04-19,1933-07-24,"Düren,,Germany","Berlin,Germany",,,
4814,Franz,von Suppé,1819-04-18,1895-05-21,"Split,Croatia","Wien,Austria",,,
4815,Carl,Maria von Weber,1786-11-18,1826-06-05,"Eutin,Germany","London,England",,,
4816,Johann,Paul von Westhoff,,,"Dresden,Germany","Weimar,Germany",,,
4817,Oswald,von Wolkenstein,1377-05-02,1445-08-02,"Castle,Dukedom of Tyrol (now Italy)","Merano,Dukedom of Tyrol (now Italy)",,,
4818,Alexander,von Zemlinsky,1871-10-14,1942-03-15,"Wien,Austria","Larchmont,,USA",,,
4819,Grete,von Zieritz,1899-03-10,2001-11-26,"Wien,Austria","Berlin,Germany",,,
4820,Alexander,Nicolaas Voormolen,1895-03-03,1980-11-12,"Rotterdam,The Netherlands","Leidschendam,The Netherlands",,,
4821,Jan,Václav (Hugo) Voříšek <small>(Worzischek)</small>,1791-05-11,1825-11-19,"Vamberk,,Czech Republic","Wien,Austria",,,
